rank,content_id,client_id,model_score,archetype,reason_code,action,impressions_90d,sessions_90d,content_age_days,ctr,avg_position,word_count,engagement_rate
679,content_2468bdd1b421,client_19581e27de,0.6625211698171349,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,3065,8,126,0.33,2.7,3052.0,12.5
680,content_4f28576f7f2e,client_19581e27de,0.6623822844918839,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1281,2,124,0.16,6.2,3251.0,0.0
681,content_0be93d1ca84b,client_349c41201b,0.6621177426691538,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2517,27,126,0.16,14.1,2589.0,0.0
682,content_2298b37c89a0,client_349c41201b,0.6617456842566751,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,7833,62,148,0.56,21.2,4442.0,1.61
683,content_7e6334f1b59b,client_19581e27de,0.6616656611126635,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,3053,1,119,0.16,12.6,2792.0,0.0
684,content_034e44c5c8c6,client_349c41201b,0.6615467961342653,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1544,12,148,0.32,12.7,4946.0,0.0
685,content_8fa10895f9a4,client_349c41201b,0.6614646908433565,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,774,7,144,0.26,14.1,4231.0,0.0
686,content_6c99350e52d8,client_349c41201b,0.6612548381123158,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,879,4,154,0.34,6.4,4880.0,0.0
687,content_58213c4a07dc,client_19581e27de,0.6610776024053082,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6046,18,313,0.05,9.2,2472.0,5.56
688,content_7fd278d546f7,client_19581e27de,0.6606935663401475,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6291,13,124,0.29,3.5,2652.0,0.0
689,content_2719464a3b3d,client_349c41201b,0.6604680623030477,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,16533,44,111,0.08,9.5,3332.0,0.0
690,content_60b799ef98ae,client_624b60c58c,0.6604662919648723,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,18,4,90,0.0,9.2,4113.0,0.0
691,content_81641d8402ae,client_349c41201b,0.6603782903542132,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,11598,47,165,0.3,3.1,4104.0,2.13
692,content_46bd4617de3d,client_624b60c58c,0.6602641007050077,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,32,5,98,0.0,10.0,3804.0,0.0
693,content_1875d5d44776,client_19581e27de,0.6602077484146618,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,983,4,124,0.2,12.7,3505.0,0.0
694,content_51ca70ca6815,client_349c41201b,0.6601684113978402,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1519,6,126,0.2,25.1,2872.0,0.0
695,content_48ebfd95c889,client_349c41201b,0.6599687973024654,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,898,2,111,0.11,26.9,3099.0,0.0
696,content_3bf6e7411b07,client_19581e27de,0.6598725999161439,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2600,5,112,0.15,12.0,2478.0,0.0
697,content_f00cc99553fe,client_19581e27de,0.6597641041041227,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1483,6,119,0.2,12.3,2619.0,0.0
698,content_f9b44af81656,client_e629fa6598,0.6597334698253999,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,297,5,358,0.34,7.5,1508.0,0.0
699,content_510afb81e74e,client_19581e27de,0.65951860037779,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1267,7,98,0.08,9.5,3168.0,14.29
700,content_efe1c25a4004,client_19581e27de,0.6592353691216445,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2689,7,139,0.26,4.6,4516.0,0.0
701,content_e45e3efbc878,client_19581e27de,0.6591698998826179,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,3133,15,103,0.1,10.4,3306.0,0.0
702,content_bc2cabfcac4d,client_19581e27de,0.6590555783173266,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,6204,62,313,0.06,10.7,2656.0,1.61
703,content_2df930dbde62,client_349c41201b,0.6590183223308173,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,28277,81,119,0.22,22.8,2889.0,0.0
704,content_28ef7fb0ee3a,client_349c41201b,0.6589521910721278,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1553,31,154,0.26,9.0,3655.0,0.0
705,content_7c9b6dc4d232,client_19581e27de,0.6588780303497691,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5218,23,329,0.11,10.4,2511.0,0.0
706,content_02b965f20fa6,client_349c41201b,0.6587987261079142,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,10947,73,140,0.17,9.0,5494.0,1.37
707,content_b56f1e6534fa,client_349c41201b,0.6587589441326592,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,441,4,119,0.23,16.2,2654.0,0.0
708,content_856c393ec65c,client_19581e27de,0.6585263885008453,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5523,76,236,0.11,17.3,2410.0,1.32
709,content_5dabf0ed15af,client_349c41201b,0.6583154941796998,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,504,2,154,0.2,10.8,3277.0,50.0
710,content_5a8a28f6de12,client_19581e27de,0.6582803857937821,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,7426,14,126,0.18,2.1,3011.0,7.14
711,content_b4ecca11ef62,client_19581e27de,0.6580402113250592,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5980,20,124,0.32,3.0,2920.0,0.0
712,content_2a8332312038,client_19581e27de,0.6578236355212056,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2734,13,95,0.22,3.8,3204.0,0.0
713,content_0252c59b4b99,client_349c41201b,0.6577711181443872,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1120,5,144,0.27,16.6,3487.0,0.0
714,content_b346c9ff4eb8,client_349c41201b,0.6576679209725816,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,9566,36,154,0.27,6.0,4412.0,0.0
715,content_34d6d80e0a51,client_19581e27de,0.6576168674375883,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,7992,20,124,0.11,3.5,3189.0,10.0
716,content_f01e5f4b741e,client_349c41201b,0.657519676014436,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,2410,33,144,0.46,13.6,2895.0,3.03
717,content_fd4635ae38d7,client_19581e27de,0.657391621663278,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,589,3,124,0.17,18.6,3038.0,0.0
718,content_bb11381ed532,client_349c41201b,0.6570445675980836,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,1902,6,118,0.16,19.4,2729.0,0.0
719,content_11e5498a4124,client_349c41201b,0.657008103150076,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,646,6,124,0.15,21.6,3197.0,0.0
720,content_acae5ab6fd6b,client_19581e27de,0.6569141104265499,LOW_PRIORITY_SIGNAL,LOW_MODEL_RANK,MONITOR,5423,108,124,0.06,22.1,2681.0,2.78
